,year,team,Conference,Division,AverageHomeAttendance,CoachFirst,CoachLast,RSGamesCoached,POGamesCoached,PointsScoredPG,PointsAllowedPG,YardsGainedPG,YardsAllowedPG,TurnoversTotal,TurnoversCausedTotal,SeasonWins,SeasonLosses,SeasonTies,DivisionWins,DivisionLosses,DivisionTies,DivisionRank,ConferenceWins,ConferenceLosses,ConferenceTies,Playoffs,PlayoffWins,WonConference,WonSB
0,2001,ARI,NFC,West,38414.375,Dave,McGinnis,16,0,18.4375,21.4375,306.125,355.3125,27,24,7,9,0,2,6,0,4,4,8,0,0,0,0,0
1,2001,ATL,NFC,South,53214.625,Dan,Reeves,16,0,18.1875,23.5625,316.875,365.3125,28,30,7,9,0,3,5,0,4,6,6,0,0,0,0,0
2,2001,BAL,AFC,North,69373.875,Brian,Billick,16,2,18.9375,16.5625,320.25,277.875,36,28,10,6,0,6,4,0,2,8,4,0,1,1,0,0
3,2001,BUF,AFC,East,63092,Gregg,Williams,16,0,16.5625,26.25,321.0625,330.75,33,19,3,13,0,1,7,0,5,2,10,0,0,0,0,0
4,2001,CAR,NFC,South,72385,George,Seifert,16,0,15.8125,25.625,265.875,371.4375,35,36,1,15,0,0,8,0,5,1,11,0,0,0,0,0
5,2001,CHI,NFC,North,66944,Dick,Jauron,16,1,21.125,12.6875,293.375,311.125,24,37,13,3,0,6,2,0,1,10,2,0,1,0,0,0
6,2001,CIN,AFC,North,56867.25,Dick,LeBeau,16,0,14.125,19.3125,300,302,37,28,6,10,0,4,6,0,6,5,8,0,0,0,0,0
7,2001,CLE,AFC,North,72886.75,Butch,Davis,16,0,17.8125,19.9375,259.5,331.0625,33,42,7,9,0,5,5,0,3,6,7,0,0,0,0,0
8,2001,DAL,NFC,East,63187.625,Dave,Campo,16,0,15.375,21.125,275.125,287.4375,34,25,5,11,0,4,4,0,5,5,7,0,0,0,0,0
9,2001,DEN,AFC,West,75035.375,Mike,Shanahan,16,0,21.25,21.1875,301.0625,298.375,27,37,8,8,0,4,4,0,3,5,7,0,0,0,0,0
